Collection	"Collection URL"	Items	"Last Month's Visit"	"This Month's Visit"	"Disk Usage"
"Temple University Course Catalogs"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll22	12847	773	771	54.25
"Temple University Newspapers"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll11	40297	1190	830	312.95
"Temple University Press E-Books"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll8	605	73	33	8.76
"Temple University Archives and Publications"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll33	1122	1464	885	3.80
"Temple University Yearbooks"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p245801coll12	104516	1752	1660	414.45
"The Drummer"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll34	9014	840	900	58.02
"Vietnam Nôm Manuscripts Field Digitization Project"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll24	5294	395	256	27.82
"Blockson Ephemera"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll7	127	1342	631	1.55
"Blockson Manuscripts"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll4	464	128	58	6.95
"Blockson Pamphlets"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll5	10534	1248	1634	110.78
"Blockson Photographs"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll3	16	21	77	0.29
"SCRC Audio"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll1	8	12	79	0.00
"SCRC Ephemera"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll6	55	75	198	0.52
"SCRC Film and Video"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p15037coll2	37	9	196	0.00
"SCRC Manuscripts"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p15037coll19	16894	753	1474	218.41
"SCRC Books and Pamphlets"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p15037coll14	5181	517	828	19.88
"SCRC Photographs"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll2	3604	564	1404	11.09
"OCLC Bulletin Testing 2025"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll37	4	0	8	0.27
