Path,Size,Type,Hash,CreatedAt,ModifiedAt
/applications-backup/LibraryBeta/production.log2018-08-23..gz,6290203,application/gzip,d5fed35b26403ab6e70224dc2b0215970688fe877bf8bf34e3928f3aa955d091,2019-04-15T05:10:06-04:00,2019-04-14T05:44:15-04:00
/applications-backup/LibraryBeta/production.log2018-08-24..gz,5679326,application/gzip,8ce28cc4e0d636607d1d478b8391da12e662ea66255e969f3de39e2d1af7b60a,2019-04-15T05:10:06-04:00,2019-04-14T05:44:15-04:00
/applications-backup/LibraryBeta/production.log2018-08-25..gz,4427791,application/gzip,c342df11856c1a6b2eddc10f53a3a835b8a827c90b54edf957ed98217e7b935c,2019-04-15T05:10:06-04:00,2019-04-14T05:44:15-04:00
/applications-backup/LibraryBeta/production.log2018-08-28..gz,16110954,application/gzip,55136117f9fa3805420e5d8805196cdf2416fbb52e8589b982bff1d6428d26b9,2019-04-15T05:10:07-04:00,2019-04-14T05:44:15-04:00
/applications-backup/LibraryBeta/production.log2018-08-26..gz,6587761,application/gzip,4daf12a01882c2ecefb8b93d5b50ffe09befb6a43710277254cd1fdfe5349bcf,2019-04-15T05:10:06-04:00,2019-04-14T05:44:15-04:00
/applications-backup/LibraryBeta/production.log2018-08-27..gz,13750208,application/gzip,92346c98b6f1d5713f1e7bdc7d78819437b87b71f8515ff7180bf204b7a44d57,2019-04-15T05:10:06-04:00,2019-04-14T05:44:15-04:00
/applications-backup/LibraryBeta/production.log2018-08-29..gz,14954764,application/gzip,30786da321bf4190aa475f1cdbc9871c14f6fd9df91aa8049279072701d3db04,2019-04-15T05:10:07-04:00,2019-04-14T05:44:16-04:00
/applications-backup/LibraryBeta/production.log2018-08-30..gz,14670982,application/gzip,abe7f99be724b1af37b5e3260d82514385612dfae85c7e5efdea4b5adb339080,2019-04-15T05:10:07-04:00,2019-04-14T05:44:16-04:00
/applications-backup/LibraryBeta/production.log2018-08-31..gz,10582898,application/gzip,158de4fce1e2e8f517679a8d010860aa9ac6c1f23a622ada85df2ccc812276ea,2019-04-15T05:10:07-04:00,2019-04-14T05:44:16-04:00
/applications-backup/LibraryBeta/production.log2018-09-01..gz,4570636,application/gzip,b347deb2c7216157d449a43f720f7c2e664351d8473d5b1e8b576feaf8ddfc62,2019-04-15T05:10:07-04:00,2019-04-14T05:44:16-04:00
